R,Rc,r1,r1c,r2,r2c,c1,c1c,c2,c2c,t,T,p,y,class,m,am,l,s
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CC(O)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,60,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,OC(C1=CC=CC=C1)(C2=CC=CC=C2)C#C[Au+][P](C3=CC(S(=O)([O-])=O)=CC=C3)(C4=CC=CC(S(=O)([O-])=O)=C4)C5=CC=CC(S(=O)([O-])=O)=C5.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,60,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,OC(C1=CC=CC=C1)(C2=CC=CC=C2)C#C[Au+][P](C3=CC(S(=O)([O-])=O)=CC=C3)(C4=CC=CC(S(=O)([O-])=O)=C4)C5=CC=CC(S(=O)([O-])=O)=C5.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,76,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,OC(CC)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,2,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,OC(CC)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,12,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,OC1(CCCCC1)C#C[Au+][P](C2=CC(S(=O)([O-])=O)=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,100,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,OC1(CCCCC1)C#C[Au+][P](C2=CC(S(=O)([O-])=O)=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4.[Na+].[Na+].[Na+],0.5,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,28,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,OC1(CCCCC1)C#C[Au+][P](C2=CC(S(=O)([O-])=O)=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4.[Na+].[Na+].[Na+],0.5,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,81,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,OC1(CCCCC1)C#C[Au+][P](C2=CC(S(=O)([O-])=O)=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4.[Na+].[Na+].[Na+],0.1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,0,m,1,0,0,0
C#CC1=CSC=C1,0.5,CO,5,O,1,CC(C)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.1,O=S(O)(O)=O,10,1,70,CC(C1=CSC=C1)=O,14,m,1,0,0,0
